date,long,short,long_short,strategy,q,weighting
2020-08-31,-0.09878652122716354,5.442419144573958e-05,-0.09884094541860929,tangible_heavy,10,value
2020-09-30,-0.06307130919377227,-0.034320173935915625,-0.028751135257856643,tangible_heavy,10,value
2020-10-30,0.16272265503597905,0.2428642582441632,-0.08014160320818414,tangible_heavy,10,value
2020-11-30,0.13644734956166432,0.11357342905349421,0.02287392050817011,tangible_heavy,10,value
2020-12-31,0.07879726696988155,-0.03773371742500945,0.11653098439489101,tangible_heavy,10,value
2021-01-29,-0.08821081867001074,0.13422799152452142,-0.22243881019453215,tangible_heavy,10,value
2021-02-26,-0.009399153607600071,0.06810817895408267,-0.07750733256168274,tangible_heavy,10,value
2021-03-31,0.037358463622484156,0.045837235709667405,-0.00847877208718325,tangible_heavy,10,value
2021-04-30,-0.05305899505994826,0.027276654575459715,-0.08033564963540797,tangible_heavy,10,value
2021-05-28,0.07475930058287131,-0.01574820914691385,0.09050750972978516,tangible_heavy,10,value
2021-06-30,-0.05236900779322379,-0.018559394658305174,-0.03380961313491861,tangible_heavy,10,value
2021-07-30,0.029202277945505912,-0.0015154301028236935,0.030717708048329604,tangible_heavy,10,value
2021-08-31,0.006994946551784757,-0.04450224396289613,0.051497190514680886,tangible_heavy,10,value
2021-09-30,0.09462193698480204,0.060755484731443966,0.03386645225335807,tangible_heavy,10,value
2021-10-29,-0.014897446284495025,-0.05271285453963457,0.03781540825513954,tangible_heavy,10,value
2021-11-30,0.021886569421682163,0.035172938682658826,-0.013286369260976663,tangible_heavy,10,value
2021-12-31,-0.05827293281328918,-0.08815342912848409,0.02988049631519491,tangible_heavy,10,value
2022-01-31,0.0675184862666902,0.043838581695170145,0.023679904571520055,tangible_heavy,10,value
2022-02-28,0.026593868292663383,0.024635577250171813,0.00195829104249157,tangible_heavy,10,value
2022-03-31,-0.11917485293276826,-0.139440065663358,0.020265212730589746,tangible_heavy,10,value
2022-04-29,0.08013074472241195,0.0017717797820839994,0.07835896494032796,tangible_heavy,10,value
2022-05-31,-0.11558353046260379,-0.0991991858970362,-0.016384344565567588,tangible_heavy,10,value
2022-06-30,0.08856712236451166,0.12361098192691893,-0.03504385956240727,tangible_heavy,10,value
2022-07-29,-0.017782613052547577,-0.018173469731256452,0.00039085667870887575,tangible_heavy,10,value
2022-08-31,-0.1465869559092854,-0.10724621291275195,-0.03934074299653344,tangible_heavy,10,value
2022-09-30,0.09085481457069487,0.08434126230596586,0.006513552264729008,tangible_heavy,10,value
2022-10-31,0.01096073688880264,0.02156692987085733,-0.01060619298205469,tangible_heavy,10,value
2022-11-30,-0.08807980754450767,-0.07177763263742744,-0.016302174907080233,tangible_heavy,10,value
2022-12-30,0.1887203937464547,0.08266662911898034,0.10605376462747435,tangible_heavy,10,value
2023-01-31,-0.06500056112442304,-0.02662968717099733,-0.03837087395342571,tangible_heavy,10,value
2023-02-28,-0.04986469169994641,-0.022481058316375018,-0.02738363338357139,tangible_heavy,10,value
2023-03-31,0.005615567415746981,-0.014826463144469726,0.020442030560216706,tangible_heavy,10,value
2023-04-28,-0.06561093656722591,-0.008511414910349669,-0.05709952165687625,tangible_heavy,10,value
2023-05-31,0.05945584442977866,0.06999304765186433,-0.010537203222085671,tangible_heavy,10,value
2023-06-30,0.10884612674581887,0.0357711433812689,0.07307498336454997,tangible_heavy,10,value
2023-07-31,-0.04199642025012366,-0.03417886801694969,-0.007817552233173965,tangible_heavy,10,value
2023-08-31,-0.022149335930210776,-0.05574330932384881,0.03359397339363803,tangible_heavy,10,value
2023-09-29,-0.058816331146670994,-0.04950234198874474,-0.009313989157926257,tangible_heavy,10,value
2023-10-31,0.14791736635365346,0.12445527194539799,0.023462094408255474,tangible_heavy,10,value
2023-11-30,0.15093051828368237,0.10289007913147664,0.048040439152205724,tangible_heavy,10,value
2023-12-29,-0.0410614129964563,-0.00522827531916717,-0.03583313767728913,tangible_heavy,10,value
2024-01-31,-0.018693569688859615,0.07035394211136657,-0.08904751180022619,tangible_heavy,10,value
2024-02-29,0.07428523261590028,0.012534426400821388,0.06175080621507889,tangible_heavy,10,value
2024-03-28,-0.11199846768892423,-0.07659115620449906,-0.035407311484425164,tangible_heavy,10,value
2024-04-30,0.05529569974380868,0.05849458814890854,-0.0031988884050998603,tangible_heavy,10,value
2024-05-31,-0.03764940964320895,-0.011043965069742881,-0.026605444573466072,tangible_heavy,10,value
