date,one_way_turnover,strategy,q,weighting
2024-06-28,0.6889013800856605,nonmicrocap,5,equal
2024-07-31,0.789179104477612,nonmicrocap,5,equal
2024-08-30,0.7719626168224298,nonmicrocap,5,equal
2024-09-30,0.7378277153558053,nonmicrocap,5,equal
2024-10-31,0.3721804511278195,nonmicrocap,5,equal
2024-11-29,0.743153788425867,nonmicrocap,5,equal
2018-12-31,,nonmicrocap_high_spread_months,5,equal
2019-01-31,0.7005988023952094,nonmicrocap_high_spread_months,5,equal
2019-02-28,0.5691382765531061,nonmicrocap_high_spread_months,5,equal
2019-05-31,0.6067864271457085,nonmicrocap_high_spread_months,5,equal
2019-06-28,0.8127490039840637,nonmicrocap_high_spread_months,5,equal
2019-07-31,1.058557385843668,nonmicrocap_high_spread_months,5,equal
2019-08-30,0.7706933005143741,nonmicrocap_high_spread_months,5,equal
2019-09-30,0.8406374501992031,nonmicrocap_high_spread_months,5,equal
2019-10-31,0.49402390438247007,nonmicrocap_high_spread_months,5,equal
2019-11-29,0.7649402390438247,nonmicrocap_high_spread_months,5,equal
2019-12-31,0.7915831663326653,nonmicrocap_high_spread_months,5,equal
2020-03-31,0.838540534885031,nonmicrocap_high_spread_months,5,equal
2020-04-30,0.738227458933932,nonmicrocap_high_spread_months,5,equal
2020-06-30,0.8605081649242259,nonmicrocap_high_spread_months,5,equal
2021-01-29,1.3996138996138996,nonmicrocap_high_spread_months,5,equal
2021-03-31,0.8382275018617174,nonmicrocap_high_spread_months,5,equal
2021-04-30,0.42134831460674155,nonmicrocap_high_spread_months,5,equal
2021-05-28,0.617100371747212,nonmicrocap_high_spread_months,5,equal
2021-06-30,0.7892800075831438,nonmicrocap_high_spread_months,5,equal
2021-08-31,0.4882882882882883,nonmicrocap_high_spread_months,5,equal
2021-09-30,0.3577817531305904,nonmicrocap_high_spread_months,5,equal
2021-11-30,0.5040086196189483,nonmicrocap_high_spread_months,5,equal
2021-12-31,0.3663839985252097,nonmicrocap_high_spread_months,5,equal
2022-01-31,1.3455497382198955,nonmicrocap_high_spread_months,5,equal
2022-02-28,0.39763820226085583,nonmicrocap_high_spread_months,5,equal
2022-03-31,0.3749384315084736,nonmicrocap_high_spread_months,5,equal
2022-04-29,0.5313588850174216,nonmicrocap_high_spread_months,5,equal
2022-05-31,0.578397212543554,nonmicrocap_high_spread_months,5,equal
2022-06-30,0.6916376306620209,nonmicrocap_high_spread_months,5,equal
2022-07-29,0.5741710296684119,nonmicrocap_high_spread_months,5,equal
2022-08-31,0.5174825174825175,nonmicrocap_high_spread_months,5,equal
2022-09-30,0.3776223776223776,nonmicrocap_high_spread_months,5,equal
2022-10-31,0.42206654991243436,nonmicrocap_high_spread_months,5,equal
2022-11-30,0.4017543859649123,nonmicrocap_high_spread_months,5,equal
2022-12-30,0.5352112676056338,nonmicrocap_high_spread_months,5,equal
2023-01-31,0.6613756613756614,nonmicrocap_high_spread_months,5,equal
2023-02-28,0.3628318584070796,nonmicrocap_high_spread_months,5,equal
2023-03-31,0.3754448398576512,nonmicrocap_high_spread_months,5,equal
2023-04-28,0.41964285714285715,nonmicrocap_high_spread_months,5,equal
2023-05-31,0.42218246869409665,nonmicrocap_high_spread_months,5,equal
2023-06-30,0.6978417266187049,nonmicrocap_high_spread_months,5,equal
2023-07-31,0.3261261261261261,nonmicrocap_high_spread_months,5,equal
